#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 72 8 0 0 0
3 0 1 0 43 8 0 0 0
4 0 1 0 40 16 0 0 0
5 0 1 0 41 44 0 0 0
6 0 1 0 62 111 0 0 0
7 0 1 0 63 156 0 0 0
8 0 1 0 62 150 0 0 0
9 0 1 0 55 145 0 0 0
10 0 1 0 49 164 0 0 0
11 0 1 0 51 143 0 0 0
12 0 1 0 52 137 0 0 0
13 0 1 0 45 121 0 0 0
14 0 1 0 48 113 0 0 0
15 0 1 0 45 102 0 0 0
16 0 1 0 40 85 0 0 0
17 0 1 0 35 136 0 0 0
18 0 1 0 35 151 0 0 0
19 0 1 0 32 135 0 0 0
20 0 1 0 20 115 0 0 0
21 0 1 0 19 112 0 0 0
22 0 1 0 11 99 0 0 0
23 0 1 0 28 113 0 0 0
24 0 1 0 16 111 0 0 0
25 0 1 0 15 91 0 0 0
26 0 1 0 20 96 0 0 0
27 0 1 0 13 75 0 0 0
28 0 1 0 19 81 0 0 0
29 0 1 0 11 82 0 0 0
30 0 1 0 66 131 0 0 0
31 0 1 0 50 140 0 0 0
32 0 1 0 42 110 0 0 0
33 0 1 0 35 92 0 0 0
34 0 1 0 31 75 0 0 0
35 0 1 0 90 126 0 0 0
36 0 1 0 75 137 0 0 0
37 0 1 0 65 157 0 0 0
38 0 1 0 54 157 0 0 0
39 0 1 0 45 138 0 0 0
40 0 1 0 41 126 0 0 0
41 0 1 0 33 124 0 0 0
42 0 1 0 29 114 0 0 0
43 0 1 0 67 159 0 0 0
44 0 1 0 57 175 0 0 0
45 0 1 0 49 187 0 0 0
46 0 1 0 46 185 0 0 0
47 0 1 0 36 201 0 0 0
48 0 1 0 32 183 0 0 0
49 0 1 0 22 165 0 0 0
50 0 1 0 19 145 0 0 0
51 0 1 0 18 146 0 0 0
52 0 1 0 17 128 0 0 0
53 0 1 0 34 153 0 0 0
54 0 1 0 29 163 0 0 0
55 0 1 0 31 168 0 0 0
56 0 1 0 26 171 0 0 0
57 0 1 0 27 176 0 0 0
58 0 1 0 25 190 0 0 0
59 0 1 0 25 155 0 0 0
60 0 1 0 26 152 0 0 0
61 0 1 0 24 146 0 0 0
62 0 1 0 25 130 0 0 0
63 0 1 0 22 125 0 0 0
64 0 1 0 46 162 0 0 0
65 0 1 0 38 157 0 0 0
66 0 1 0 41 166 0 0 0
67 0 1 0 35 164 0 0 0
68 0 1 0 31 158 0 0 0
69 0 1 0 29 142 0 0 0
70 0 1 0 25 147 0 0 0
71 0 1 0 21 129 0 0 0
72 0 1 0 19 117 0 0 0
73 0 1 0 37 133 0 0 0
74 0 1 0 35 112 0 0 0
75 0 1 0 26 112 0 0 0
76 0 1 0 25 94 0 0 0
77 0 1 0 18 88 0 0 0
78 0 1 0 45 95 0 0 0
79 0 1 0 31 103 0 0 0
80 0 1 0 21 91 0 0 0
81 0 1 0 17 92 0 0 0
82 0 1 0 47 123 0 0 0
83 0 1 0 30 127 0 0 0
84 0 1 0 36 126 0 0 0
85 0 1 0 28 124 0 0 0
86 0 1 0 20 104 0 0 0
87 0 1 0 18 80 0 0 0
88 0 1 0 29 108 0 0 0
89 0 1 0 16 116 0 0 0
90 0 1 0 14 109 0 0 0
91 0 1 0 8 95 0 0 0
92 0 1 0 6 53 0 0 0
93 0 1 0 5 62 0 0 0
94 0 1 0 38 123 0 0 0
95 0 1 0 13 116 0 0 0
96 0 1 0 4 99 0 0 0
97 0 1 0 2 75 0 0 0
98 0 1 0 10 80 0 0 0
99 0 1 0 3 72 0 0 0
100 0 1 0 38 101 0 0 0
101 0 1 0 25 85 0 0 0
102 0 1 0 15 73 0 0 0
103 0 1 0 34 85 0 0 0
104 0 1 0 23 63 0 0 0
105 0 1 0 45 93 0 0 0
106 0 1 0 27 86 0 0 0
107 0 1 0 10 52 0 0 0
108 0 1 0 17 49 0 0 0
109 0 1 0 26 72 0 0 0
110 0 1 0 13 55 0 0 0
111 0 1 0 25 89 0 0 0
112 0 1 0 22 91 0 0 0
113 0 1 0 18 81 0 0 0
114 0 1 0 12 72 0 0 0
115 0 1 0 8 61 0 0 0
116 0 1 0 20 95 0 0 0
117 0 1 0 11 104 0 0 0
118 0 1 0 7 96 0 0 0
119 0 1 0 3 95 0 0 0
120 0 1 0 6 81 0 0 0
121 0 1 0 4 71 0 0 0
122 0 1 0 28 110 0 0 0
123 0 1 0 22 134 0 0 0
124 0 1 0 21 133 0 0 0
125 0 1 0 13 130 0 0 0
126 0 1 0 12 121 0 0 0
127 0 1 0 10 97 0 0 0
128 0 1 0 10 87 0 0 0
129 0 1 0 9 81 0 0 0
130 0 1 0 8 88 0 0 0
131 0 1 0 8 76 0 0 0
132 0 1 0 8 75 0 0 0
133 0 1 0 6 73 0 0 0
134 0 1 0 23 103 0 0 0
135 0 1 0 20 119 0 0 0
136 0 1 0 23 117 0 0 0
137 0 1 0 22 129 0 0 0
138 0 1 0 21 126 0 0 0
139 0 1 0 19 129 0 0 0
140 0 1 0 18 124 0 0 0
141 0 1 0 14 118 0 0 0
142 0 1 0 17 125 0 0 0
143 0 1 0 12 122 0 0 0
144 0 1 0 13 115 0 0 0
145 0 1 0 12 106 0 0 0
146 0 1 0 12 99 0 0 0
147 0 1 0 10 99 0 0 0
148 0 1 0 9 88 0 0 0
149 0 1 0 9 81 0 0 0
150 0 1 0 8 73 0 0 0
151 0 1 0 18 91 0 0 0
152 0 1 0 33 142 0 0 0
153 0 1 0 25 145 0 0 0
154 0 1 0 24 138 0 0 0
155 0 1 0 21 137 0 0 0
156 0 1 0 20 127 0 0 0
157 0 1 0 18 113 0 0 0
158 0 1 0 17 111 0 0 0
159 0 1 0 16 104 0 0 0
160 0 1 0 54 129 0 0 0
161 0 1 0 44 137 0 0 0
162 0 1 0 39 135 0 0 0
163 0 1 0 33 120 0 0 0
164 0 1 0 28 121 0 0 0
165 0 1 0 24 120 0 0 0
166 0 1 0 19 97 0 0 0
167 0 1 0 43 140 0 0 0
168 0 1 0 37 159 0 0 0
169 0 1 0 31 144 0 0 0
170 0 1 0 27 125 0 0 0
171 0 1 0 16 105 0 0 0
172 0 1 0 16 80 0 0 0
173 0 1 0 35 101 0 0 0
174 0 1 0 30 94 0 0 0
175 0 1 0 55 110 0 0 0
176 0 1 0 44 115 0 0 0
177 0 1 0 28 91 0 0 0
178 0 1 0 39 103 0 0 0
179 0 1 0 19 103 0 0 0
180 0 1 0 50 138 0 0 0
181 0 1 0 35 122 0 0 0
182 0 1 0 47 137 0 0 0
183 0 1 0 37 130 0 0 0
184 0 1 0 48 153 0 0 0
185 0 1 0 31 128 0 0 0
186 0 1 0 44 133 0 0 0
187 0 1 0 54 164 0 0 0
188 0 1 0 24 146 0 0 0
189 0 1 0 46 147 0 0 0
190 0 1 0 61 195 0 0 0
191 0 1 0 42 176 0 0 0
192 0 1 0 28 144 0 0 0
193 0 1 0 52 155 0 0 0
194 0 1 0 37 152 0 0 0
195 0 1 0 26 137 0 0 0
196 0 1 0 38 159 0 0 0
197 0 1 0 29 146 0 0 0
198 0 1 0 15 112 0 0 0
199 0 1 0 31 133 0 0 0
200 0 1 0 18 120 0 0 0
201 0 1 0 40 144 0 0 0
202 0 1 0 19 118 0 0 0
203 0 1 0 31 157 0 0 0
204 0 1 0 21 122 0 0 0
205 0 1 0 29 145 0 0 0
206 0 1 0 17 124 0 0 0
207 0 1 0 37 135 0 0 0
208 0 1 0 22 111 0 0 0
209 0 1 0 50 137 0 0 0
210 0 1 0 22 119 0 0 0
211 0 1 0 47 124 0 0 0
212 0 1 0 33 105 0 0 0
213 0 1 0 34 94 0 0 0
214 0 1 0 63 102 0 0 0
215 0 1 0 69 146 0 0 0
216 0 1 0 88 143 0 0 0
217 0 1 0 56 98 0 0 0
218 0 1 0 92 91 0 0 0
219 0 1 0 44 90 0 0 0
220 0 1 0 83 116 0 0 0
221 0 1 0 52 115 0 0 0
222 0 1 0 106 138 0 0 0
223 0 1 0 74 141 0 0 0
224 0 1 0 127 171 0 0 0
225 0 1 0 88 162 0 0 0
226 0 1 0 107 153 0 0 0
227 0 1 0 82 152 0 0 0
228 0 1 0 103 184 0 0 0
229 0 1 0 82 143 0 0 0
230 0 1 0 100 188 0 0 0
231 0 1 0 85 175 0 0 0
232 0 1 0 100 190 0 0 0
233 0 1 0 76 202 0 0 0
234 0 1 0 102 207 0 0 0
235 0 1 0 78 179 0 0 0
236 0 1 0 100 185 0 0 0
237 0 1 0 73 181 0 0 0
238 0 1 0 86 177 0 0 0
239 0 1 0 72 168 0 0 0
240 0 1 0 78 183 0 0 0
241 0 1 0 55 151 0 0 0
242 0 1 0 67 170 0 0 0
243 0 1 0 57 149 0 0 0
244 0 1 0 58 133 0 0 0
245 0 1 0 33 109 0 0 0
246 0 1 0 46 121 0 0 0
247 0 1 0 36 111 0 0 0
248 0 1 0 48 162 0 0 0
249 0 1 0 42 139 0 0 0
250 0 1 0 69 144 0 0 0
251 0 1 0 50 116 0 0 0
252 0 1 0 68 119 0 0 0
253 0 1 0 43 120 0 0 0
254 0 1 0 30 108 0 0 0
